sekolah_id,nama_sekolah
40f0d858-013c-e111-9aee-91b841977a2c,SMP NEGERI 5 PALU
c219256f-3b83-4e38-b5b8-68d7b220e04e,MIS ALKHAIRAAT DONDO
c08d3d58-013c-e111-ade8-0fdd232fb965,SD NEGERI 14 RATOLINDO
d0292bfa-f0fe-e111-a58b-2fa9b5eeada5,SMPN 2 Karamat
44e72b44-0f0a-4bdd-a796-c75a230cbdb5,SMP NEGERI 6 LUWUK TIMUR
f00fabd0-6585-e111-9655-d1edeffefbfd,SDN 03 MARISA
80a5d858-013c-e111-a730-972c09a105ce,SMP NEGERI 11 PALU
e08dda57-013c-e111-8e7d-1337765fc322,SD NEGERI 18 MOMUNU
208d7157-013c-e111-bf30-3fd19f0c39f4,SDN 10 BANAWA TENGAH
50ac0358-013c-e111-8503-e524926f7be7,SD NEGERI WOSU
30f02f58-013c-e111-b59a-dffcd8f5244a,SD INPRES 2 TADA
30bfc858-013c-e111-97ca-b36c0522b1f0,SMP NEGERI 2 GADUNG
40243a58-013c-e111-aeba-ffb00d3f268b,SD NEGERI LONGGE 
500c0258-013c-e111-876c-b905042d108e,SD NEGERI 08 BUNGKU
0021ca58-013c-e111-9d47-b5693f35d58c,SMP NEGERI 3 DAMPAL SELATAN
9e3e776d-49e6-4940-ac82-f3f890d393cb,SMAN 7 PALU
005c3358-013c-e111-8f09-4d3f8b0208a2,SD INPRES BOYANTONGO
e0c01658-013c-e111-ad16-ed693b8fae51,SD NEGERI POMBALOWO
70a60bbf-f3fe-e111-b4e3-5d69cc06b7a5,SD NEGERI KEAK
70d58757-013c-e111-8947-43cfc4b535f2,SDN 9 BANAWA SELATAN
80d5c377-eafe-e111-8c48-bbd356a5d73a,SMP NEGERI 4 Sindue
60934658-013c-e111-8e89-75be007d9011,SD NEGERI 20 PALU
60b9b558-013c-e111-a98f-33c4e040ac4e,SMP NEGERI 1 SIRENJA
f0cec577-eafe-e111-a7be-a964f8ed9dcf,SMPN  Satap 3 Balaesang Tanjung
8ebf3066-93c6-4dd8-9053-7ef01a9dbd68,SMAN 1 PALELEH
e0d96258-013c-e111-b44a-3368c3f7793d,SD DDI CABANG PARIGI
20a9625c-fbfe-e111-91a6-577912b03d2d,SMP NEGERI SATU ATAP NEGERI 1 TINOMBO SELATAN
7c9742d4-fd72-49ae-9200-a7ec728cea66,Data sekolah kosong (ID tidak aktif/invalid)
60787b57-013c-e111-86fb-1d7857add049,SDN 12 BALAESANG
1066d958-013c-e111-bc1e-efc6e933e8a9,SMP NEGERI 4 PALU
906cd058-013c-e111-8dd4-29c1a4094d02,SMP NEGERI 2 BAHODOPI
60fccc58-013c-e111-99f6-a3a3f40fad92,SMP NEGERI 2 OGODEIDE
c0182558-013c-e111-9664-e54f03f35c5f,SD NEGERI 1 TULADENGGI
c078fe57-013c-e111-8713-cbd06a786829,SD NEGERI POLEWALI
3f9bc0fb-83ee-4265-9605-7915214eab5f,SD NEGERI LABUAN NGEHA
70c03258-013c-e111-aaf6-8da7d549ab34,SD NEGERI 2 KAYU AGUNG
602e3558-013c-e111-906b-2331537973bd,SD NEGERI PANCUMA
e0a6ef57-013c-e111-9391-e75943bc96fb,SD NEGERI 3 BAMBAPULA
231ffbfe-9dd3-475d-ba3f-8b7e96468c07,SDN INP 5 PALASA
a0943357-013c-e111-b605-e314c0f23c77,SD NEGERI 2 BANGGAI
8032d758-013c-e111-92d1-39723eb281b0,SMP NEGERI 2 RATOLINDO
00d05f88-4cdf-e111-ad51-a90c5291419e,SMP SATU ATAP PULAU LINGAYAN
e03c2358-013c-e111-87a3-ddb40e0ff9f3,SD NEGERI 3 TERPENCIL BOBALO
40355457-013c-e111-8e2c-b94c8a508d5f,SD INPRES SALUA
e390c786-4ebe-40d1-8a30-fbac0d4426c6,SMP Negeri 3 Lembo
03abc6ab-b32b-4d8f-bcf2-19ac63f1101a,SMKN 1 RIO PAKAVA
c0386558-013c-e111-af06-7b484777f956,SD KRISTEN GPID PALU
2026cb58-013c-e111-b77a-152035d07fd3,SMP NEGERI 1 TOLI TOLI
406c6258-013c-e111-880d-0312dcae456f,SD GKST SEA
c061ad58-013c-e111-a230-d10167329c70,SMP NEGERI 4 TOTIKUM
